Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-6_SH_3-5_NH2_4_FBI,c1(S)c(N)c(F)c(N)c(S)c1(I),I,SH,NH2,F,18.2,2.210050663,2.1117,2.442,-7.347,Cs,2.1182,0.0065,2.413,-0.029,-4.911,,3.0849,0.149,-13.212,0.0156,0.0105,-0.00103,-0.00944,0.046,0.00103,1.69E-06,-0.0156,-4.63,-4.542982786,-4.21,-4.120146664,0.086144504,0.003708832,6.25,-0.02789
2-6_SH_3-5_NH2_4_NO2BI,c1(S)c(N)c(N(=O)=O)c(N)c(S)c1(I),I,SH,NH2,NO2,21.7,2.203321063,2.1134,2.409,-9.516,C1,2.1216,0.0082,2.35,-0.059,-6.951,,3.0517,0.158,-13.659,0.0165,0.0112,-0.00101,-0.0101,0.0486,0.00101,1.84E-06,-0.0165,-5.15,-5.064430631,-4.7,-4.61574317,0.079750182,0.004506648,1.05,-0.03121
2-6_SH_3-5_NO2_4_CNBI,c1(S)c(N(=O)=O)c(C#N)c(N(=O)=O)c(S)c1(I),I,SH,NO2,CN,43.2,2.183681779,2.1079,2.443,-7.668,Cs,2.1222,0.0143,2.299,-0.144,-4.162,,2.9607,0.175,-14.525,0.0198,0.0133,-0.000859,-0.0124,0.0565,0.000859,6.33E-07,-0.0198,-8.04,-7.921456284,-7.54,-7.423450339,0.116396737,0.000152924,9.43,-0.04474
2-6_SH_3-5_NO2_4_FBI,c1(S)c(N(=O)=O)c(F)c(N(=O)=O)c(S)c1(I),I,SH,NO2,F,39.3,2.187295542,2.1113,2.436,-6.406,Cs,2.1245,0.0132,2.314,-0.122,-3.046,,2.9809,0.169,-14.136,0.019,0.0128,-0.000904,-0.0119,0.0547,0.000904,1.80E-06,-0.019,-7.47,-7.36770425,-6.99,-6.882866433,0.106701715,0.000431852,8.9,-0.04161
2-6_SH_4_NH2_3-5_CNBI,c1(S)c(C#N)c(N)c(C#N)c(S)c1(I),I,SH,CN,NH2,33.8,2.199752479,71.532,2.398,-4.795,C1,2.1222,-69.4098,2.363,-0.035,-1.76,,3.0271,0.167,-14.121,0.0175,0.0117,-0.000965,-0.0108,0.0507,0.000965,1.22E-06,-0.0175,-6.56,-6.472919629,-6.06,-5.976090497,0.083414838,0.000494666,8.07,-0.03533
2-6_SH_4_NH2_3-5_FBI,c1(S)c(F)c(N)c(F)c(S)c1(I),I,SH,F,NH2,26.5,2.207446025,2.1097,2.448,-4.567,C1,2.1175,0.0078,2.409,-0.039,-2.011,,3.0611,0.161,-13.546,0.0164,0.011,-0.001,-0.00999,0.0479,0.001,7.19E-07,-0.0164,-5.61,-5.541199798,-5.14,-5.06786772,0.070783072,0.001349208,7.14,-0.03085
2-6-BH2BI,c1(B)cccc(B)c1(I),I,BH2,H,H,15,2.22160514,2.1278,2.246,-11.978,C1,2.1304,0.0026,2.267,0.021,-10.031,,3.1145,0.136,-12.625,0.0148,0.00989,-0.00103,-0.00886,0.0437,0.00103,9.69E-10,-0.0148,-4.1,-4.041140849,-3.66,-3.60128494,0.054360521,0.004354539,5.74,-0.0255
2-6-CF3BI,c1(C(F)(F)F)cccc(C(F)(F)F)c1(I),I,CF3,H,H,25,2.183110452,2.1128,2.481,-8.411,C1,2.1264,0.0136,2.336,-0.145,-5.4,,2.9881,0.164,-13.752,0.018507825,0.01257758,-0.000955941,-0.011621639,0.054134103,0.000955941,1.99E-06,-0.018507825,-6.29,-6.180186447,-5.78,-5.669807135,0.104179127,0.006013737,8.22,-0.03888
2-6-CH3BI,c1(C)cccc(C)c1(I),I,CH3,H,H,13.9,2.229888657,2.1232,2.306,-9.549,C1,2.1249,0.0017,2.345,0.039,-7.621,,3.1596,0.117,-12.415,0.0138,0.00911,-0.00102,-0.00809,0.0405,0.00102,1.00E-06,-0.0138,-3.59,-3.541734276,-3.17,-3.122043967,0.044765273,0.00319076,5.02,-0.02168
2-6-CHOBI,c1(C(=O))cccc(C(=O))c1(I),I,CHO,H,H,27.5,2.208275548,2.1302,2.277,-9.902,C1,2.1371,0.0069,2.248,-0.029,-7.343,,3.0534,0.161,-13.378,0.016670121,0.011147237,-0.00097842,-0.010168817,0.048502636,0.00097842,9.21E-07,-0.016670121,-5.78,-5.695625494,-5.3,-5.219508603,0.079209269,0.001282127,6.98,-0.03226
2-6-ClBI,c1(Cl)cccc(Cl)c1(I),I,Cl,H,H,22.9,2.187401008,2.0964,2.639,-6.306,C1,2.1083,0.0119,2.515,-0.124,-3.318,,3.0199,0.163,-13.533,0.017427579,0.01183633,-0.001008779,-0.010827551,0.051380452,0.001008779,2.06E-06,-0.017427579,-5.67,-5.570655094,-5.2,-5.104876211,0.089614632,0.005509157,7.75,-0.03452
2-6-CNBI,c1(C#N)cccc(C#N)c1(I),I,CN,H,H,29.2,2.176818289,2.0915,2.714,-7.713,C1,2.1055,0.014,2.54,-0.174,-4.61,,2.9599,0.175,-13.803,0.019588024,0.01328868,-0.000900397,-0.012388282,0.056756335,0.000900397,1.30E-06,-0.019588024,-7.13,-7.026165262,-6.62,-6.520085678,0.094618393,0.005295929,9.04,-0.04256
2-6-COOHBI,c1(C(=O)O)cccc(C(=O)O)c1(I),I,COOH,H,H,32.5,2.192154874,2.1249,2.313,-8.162,C1,2.1358,0.0109,2.236,-0.077,-5.128,,2.996,0.167,-13.776,0.018554612,0.012416203,-0.0009174,-0.011498803,0.05333443,0.0009174,2.34E-06,-0.018554612,-6.99,-6.8632274,-6.51,-6.379763039,0.128592384,0.001644577,8.31,-0.03948
2-6-FBI,c1(F)cccc(F)c1(I),I,F,H,H,23.8,2.184584214,2.0858,2.807,-5.178,C1,2.0991,0.0133,2.647,-0.16,-1.884,,3.0174,0.166,-13.718,0.017476193,0.011889359,-0.001010353,-0.010879006,0.051598866,0.001010353,2.12E-06,-0.017476193,-5.81,-5.711106153,-5.33,-5.234384934,0.090428512,0.005186554,7.67,-0.03432
2-6-NH2BI,c1(N)cccc(N)c1(I),I,NH2,H,H,16.9,2.22595388,2.1151,2.374,-7.128,Cs,2.1185,0.0034,2.397,0.023,-4.972,,3.1495,0.122,-12.591,0.014,0.00928,-0.00102,-0.00826,0.0412,0.00102,7.75E-07,-0.014,-3.95,-3.893221172,-3.53,-3.474004504,0.053908086,0.00208741,5.34,-0.02215
2-6-NO2BI,c1(N(=O)=O)cccc(N(=O)=O)c1(I),I,NO2,H,H,32,2.161541667,2.0973,2.616,-6.327,C1,2.119,0.0217,2.314,-0.302,-2.404,,2.9064,0.199,-14.679,0.021499069,0.014695086,-0.000781058,-0.013914028,0.061904629,0.000781058,9.51E-07,-0.021499069,-7.97,-7.791170251,-7.44,-7.264118625,0.16824722,0.007634155,10.86,-0.05071
2-6-OHBI,c1(O)cccc(O)c1(I),I,OH,H,H,27.5,2.212167692,2.113,2.418,-6.227,C1,2.1183,0.0053,2.414,-0.004,-3.587,,3.0916,0.154,-13.137,0.0156,0.0104,-0.00101,-0.00937,0.0456,0.00101,5.79E-07,-0.0156,-5.39,-5.328437682,-4.95,-4.88513108,0.064326626,0.000542294,6.39,-0.02765
2-6-OOCMeBI,c1(OC(=O)C)cccc(OC(=O)C)c1(I),I,OOCMe,H,H,22.2,2.200072914,2.0936,2.673,-5.755,C1,2.1027,0.0091,2.596,-0.077,-3.204,,3.0668,0.157,-13.029,0.016030986,0.010836825,-0.001040106,-0.009796719,0.047507734,0.001040106,9.63E-07,-0.016030986,-5.07,-4.971302573,-4.59,-4.492545265,0.094374919,0.003079817,6.27,-0.03057
2-6-SHBI,c1(S)cccc(S)c1(I),I,SH,H,H,24.3,2.215098483,2.1163,2.343,-7.048,C1,2.1216,0.0053,2.342,-0.001,-4.647,,3.083,0.154,-13.06,0.0158,0.0105,-0.00101,-0.00954,0.0462,0.00101,4.69E-07,-0.0158,-5.22,-5.156492549,-4.75,-4.684490393,0.064288348,0.001221259,6.69,-0.0287
3-4-5-BH2BI,c1c(B)c(B)c(B)cc1(I),I,H,BH2,BH2,19.8,2.213555194,2.1086,2.508,-10.504,C1,2.113,0.0044,2.512,0.004,-7.786,,3.0956,0.146,-13.465,0.0153,0.0103,-0.00103,-0.00923,0.0451,0.00103,3.27E-06,-0.0153,-4.6,-4.544149326,-4.16,-4.104042217,0.052942349,0.003015434,6.15,-0.02692
3-4-5-ClBI,c1c(Cl)c(Cl)c(Cl)cc1(I),I,H,Cl,Cl,25.8,2.199679769,2.1015,2.608,-9.692,C1,2.1092,0.0077,2.556,-0.052,-6.699,,3.0503,0.162,-13.914,0.016620702,0.011170367,-0.001009162,-0.010161204,0.048718126,0.001009162,1.83E-06,-0.016620702,-5.52,-5.464260859,-5.07,-5.011766805,0.055666368,0.002566828,6.94,-0.03178
3-4-5-CNBI,c1c(C#N)c(C#N)c(C#N)cc1(I),I,H,CN,CN,38.6,2.182718667,2.0956,2.674,-11.118,C1,2.1071,0.0115,2.547,-0.127,-7.727,,2.9819,0.17,-14.448,0.018900242,0.012727445,-0.000918208,-0.011809236,0.054582634,0.000918208,7.09E-07,-0.018900242,-7.31,-7.230330498,-6.83,-6.751029373,0.078030806,0.000939821,8.59,-0.04079
3-4-5-FBI,c1c(F)c(F)c(F)cc1(I),I,H,F,F,25.8,2.198736586,2.102,2.621,-8.738,C1,2.1099,0.0079,2.567,-0.054,-6.023,,3.0539,0.161,-13.359,0.016498597,0.011092179,-0.001015257,-0.010076922,0.048429756,0.001015257,2.43E-06,-0.016498597,-5.46,-5.395748116,-5.02,-4.960643437,0.056771412,0.002585151,6.9,-0.03128
3-4-5-NH2BI,c1c(N)c(N)c(N)cc1(I),I,H,NH2,NH2,11.7,2.224672059,2.1092,2.501,-8.649,C1,2.1125,0.0033,2.52,0.019,-6.408,,3.1454,0.121,-12.975,0.014,0.00934,-0.00103,-0.0083,0.0415,0.00103,1.44E-06,-0.014,-3.52,-3.475171205,-3.12,-3.07198222,0.043020169,0.004997611,5.18,-0.02226
3-4-5-OHBI,c1c(O)c(O)c(O)cc1(I),I,H,OH,OH,17.9,2.215047268,2.106,2.555,-8.073,C1,2.111,0.005,2.549,-0.006,-5.679,,3.1097,0.139,-13.078,0.0149,0.00999,-0.00104,-0.00895,0.0441,0.00104,1.89E-06,-0.0149,-4.25,-4.200841389,-3.84,-3.788635649,0.04769637,0.003667981,5.8,-0.02543
3-4-5-SHBI,c1c(S)c(S)c(S)cc1(I),I,H,SH,SH,21.7,2.209883134,2.1063,2.533,-10.969,C1,2.1115,0.0052,2.521,-0.012,-8.149,,3.0831,0.152,-13.742,0.0157,0.0105,-0.00102,-0.00948,0.0461,0.00102,2.15E-06,-0.0157,-4.84,-4.786644725,-4.4,-4.348898701,0.048293131,0.002808168,6.28,-0.02831
3-5-BH2BI,c1c(B)cc(B)cc1(I),I,H,BH2,H,19.9,2.213394629,2.109,2.503,-10.758,C1,2.1133,0.0043,2.507,0.004,-8.096,,3.0947,0.147,-13.283,0.0154,0.0103,-0.00103,-0.00924,0.0452,0.00103,1.22E-06,-0.0154,-4.62,-4.568459044,-4.19,-4.134319137,0.052668127,0.003012736,6.18,-0.02701
3-5-CF3BI,c1c(C(F)(F)F)cc(C(F)(F)F)cc1(I),I,H,CF3,H,27.7,2.197156244,2.1016,2.609,-10.1,C1,2.1095,0.0079,2.554,-0.055,-7.265,,3.0423,0.164,-13.564,0.016878944,0.011345975,-0.001000666,-0.010345309,0.049386576,0.001000666,1.93E-07,-0.016878944,-5.79,-5.721332675,-5.33,-5.2623824,0.065449241,0.002168359,7.13,-0.03266
3-5-CH3BI,c1c(C)cc(C)cc1(I),I,H,CH3,H,13.9,2.223699538,2.1114,2.463,-10.611,C1,2.1142,0.0028,2.487,0.024,-8.31,,3.1345,0.127,-12.815,0.0143,0.00953,-0.00103,-0.0085,0.0422,0.00103,1.48E-06,-0.0143,-3.8,-3.753026137,-3.38,-3.334739246,0.040983901,0.004276854,5.39,-0.02335
3-5-CHOBI,c1c(C(=O))cc(C(=O))cc1(I),I,H,CHO,H,23.5,2.203205622,2.1049,2.561,-11.133,C1,2.1113,0.0064,2.531,-0.03,-8.313,,3.0596,0.16,-13.534,0.016362788,0.010980436,-0.001011367,-0.009969069,0.047967224,0.001011367,4.40E-07,-0.016362788,-5.34,-5.272554196,-4.88,-4.815390743,0.061799018,0.002810239,6.82,-0.03067
3-5-ClBI,c1c(Cl)cc(Cl)cc1(I),I,H,Cl,H,24,2.202962988,2.1039,2.575,-10,C1,2.1107,0.0068,2.538,-0.037,-7.119,,3.0617,0.159,-13.601,0.016290376,0.010932977,-0.001015632,-0.009917345,0.047794447,0.001015632,1.78E-06,-0.016290376,-5.27,-5.214945059,-4.83,-4.774442505,0.052717073,0.002840422,6.72,-0.03054
3-5-CNBI,c1c(C#N)cc(C#N)cc1(I),I,H,CN,H,32.2,2.190716769,2.1002,2.632,-10.313,C1,2.1096,0.0094,2.55,-0.082,-7.177,,3.0172,0.167,-13.92,0.017682445,0.01189732,-0.000973086,-0.010924234,0.051481637,0.000973086,1.35E-06,-0.017682445,-6.41,-6.339876947,-5.93,-5.863002066,0.065420375,0.001577559,7.73,-0.03595
3-5-COOHBI,c1c(C(=O)O)cc(C(=O)O)cc1(I),I,H,COOH,H,21.9,2.204560837,2.1043,2.573,-10.782,C1,2.1107,0.0064,2.544,-0.029,-8.042,,3.0665,0.158,-13.531,0.016144197,0.010837531,-0.001017888,-0.009819644,0.047421686,0.001017888,1.99E-06,-0.016144197,-5.14,-5.080434005,-4.69,-4.626040718,0.060763,0.003196282,6.63,-0.0298
3-5-FBI,c1c(F)cc(F)cc1(I),I,H,F,H,23.4,2.203263876,2.1031,2.59,-9.685,C1,2.1098,0.0067,2.553,-0.037,-7.114,,3.0679,0.158,-13.198,0.016095612,0.01080343,-0.001022621,-0.009780808,0.047304214,0.001022621,1.05E-06,-0.016095612,-5.15,-5.093575309,-4.71,-4.654367832,0.052725231,0.002906938,6.6,-0.02973
3-5-NH2BI,c1c(N)cc(N)cc1(I),I,H,NH2,H,12.3,2.224454008,2.111,2.471,-10.734,C1,2.1138,0.0028,2.495,0.024,-8.531,,3.1405,0.124,-12.779,0.0141,0.00942,-0.00103,-0.00839,0.0418,0.00103,2.66E-06,-0.0141,-3.64,-3.58330427,-3.23,-3.176733229,0.048452519,0.004814253,5.27,-0.02279
3-5-NO2BI,c1c(N(=O)=O)cc(N(=O)=O)cc1(I),I,H,NO2,H,33.2,2.187491196,2.099,2.652,-10.403,C1,2.1093,0.0103,2.554,-0.098,-7.182,,3.005,0.168,-13.958,0.018071271,0.012174482,-0.000961153,-0.011213329,0.05254256,0.000961153,6.90E-07,-0.018071271,-6.64,-6.56645996,-6.17,-6.09437494,0.073940699,0.001684361,8.03,-0.0374
3-5-OHBI,c1c(O)cc(O)cc1(I),I,H,OH,H,18.7,2.214697277,2.1076,2.523,-9.846,C1,2.112,0.0044,2.523,0,-7.472,,3.1063,0.141,-12.938,0.015,0.0101,-0.00103,-0.00902,0.0443,0.00103,3.37E-06,-0.015,-4.36,-4.309984116,-3.94,-3.888117703,0.048512132,0.003370165,5.87,-0.02588
3-5-OOCMeBI,c1c(OC(=O)C)cc(OC(=O)C)cc1(I),I,H,OOCMe,H,17,2.210747936,2.1059,2.549,-10.284,C1,2.1111,0.0052,2.538,-0.011,-7.726,,3.0888,0.149,-13.331,0.015485865,0.010384418,-0.001033888,-0.00935053,0.045673231,0.001033888,1.80E-06,-0.015485865,-4.55,-4.478317932,-4.11,-4.042763361,0.062703259,0.00453338,6.13,-0.02734
3-5-SHBI,c1c(S)cc(S)cc1(I),I,H,SH,H,20.3,2.211749561,2.1076,2.52,-10.56,C1,2.1124,0.0048,2.515,-0.005,-7.837,,3.0916,0.148,-13.436,0.0154,0.0103,-0.00103,-0.00931,0.0454,0.00103,1.13E-06,-0.0154,-4.65,-4.600588158,-4.21,-4.16069821,0.046203525,0.003098265,6.13,-0.02743
4-BH2BI,c1cc(B)ccc1(I),I,H,H,BH2,19.7,2.214391883,2.1058,2.509,-11.835,C1,2.1096,0.0038,2.513,0.004,-9.602,,3.1019,0.144,-13.092,0.0152,0.0101,-0.00103,-0.00911,0.0447,0.00103,9.13E-07,-0.0152,-4.54,-4.488058135,-4.11,-4.060242513,0.046844212,0.002913276,5.96,-0.02633
4-CF3BI,c1cc(C(F)(F)F)ccc1(I),I,H,H,CF3,22.5,2.209289407,2.105,2.55,-10.391,C1,2.1103,0.0053,2.534,-0.016,-7.911,,3.0842,0.152,-13.179,0.015658004,0.0104818,-0.001024321,-0.009457479,0.046024489,0.001024321,3.53E-06,-0.015658004,-4.9,-4.847670651,-4.46,-4.404977332,0.052502465,0.002520204,6.31,-0.02811
4-CH3BI,c1cc(C)ccc1(I),I,H,H,CH3,14.8,2.220382681,2.1086,2.504,-9.634,C1,2.1122,0.0036,2.516,0.012,-7.34,,3.1275,0.131,-12.871,0.0145,0.00966,-0.00103,-0.00862,0.0428,0.00103,4.46E-07,-0.0145,-3.93,-3.88433752,-3.51,-3.464736987,0.04111756,0.004145453,5.53,-0.02386
4-CHOBI,c1cc(C(=O))ccc1(I),I,H,H,CHO,21.9,2.210801399,2.1047,2.546,-11.05,C1,2.1096,0.0049,2.529,-0.017,-8.712,,3.0888,0.15,-13.235,0.015540161,0.010394105,-0.00102486,-0.009369245,0.045675866,0.00102486,7.31E-07,-0.015540161,-4.82,-4.761871905,-4.39,-4.333912385,0.053593704,0.002493911,6.21,-0.02765
4-ClBI,c1cc(Cl)ccc1(I),I,H,H,Cl,20,2.21131168,2.1055,2.553,-9.492,C1,2.1107,0.0052,2.542,-0.011,-7.018,,3.096,0.147,-13.219,0.01530896,0.010248822,-0.001032491,-0.009216331,0.045125256,0.001032491,8.08E-07,-0.01530896,-4.59,-4.543260146,-4.16,-4.109910686,0.046993559,0.003095755,6.09,-0.02682
4-CNBI,c1cc(C#N)ccc1(I),I,H,H,CN,25,2.206139446,2.1031,2.567,-10.666,C1,2.109,0.0059,2.54,-0.027,-8.126,,3.0722,0.157,-13.438,0.016006927,0.01072293,-0.001018774,-0.009704156,0.046966827,0.001018774,1.20E-06,-0.016006927,-5.2,-5.148557064,-4.76,-4.707573652,0.050325007,0.002101341,6.54,-0.02942
4-COOHBI,c1cc(C(=O)O)ccc1(I),I,H,H,COOH,20.6,2.212714806,2.1051,2.535,-11.039,C1,2.1098,0.0047,2.527,-0.008,-8.685,,3.0937,0.148,-13.198,0.015398895,0.010296103,-0.00102666,-0.009269442,0.045291059,0.00102666,2.35E-06,-0.015398895,-4.69,-4.640908154,-4.26,-4.20615159,0.051046015,0.002802395,6.12,-0.02713
4-FBI,c1cc(F)ccc1(I),I,H,H,F,19.1,2.211667456,2.1065,2.553,-8.803,C1,2.1116,0.0051,2.543,-0.01,-6.405,,3.102,0.144,-12.936,0.015137846,0.01013216,-0.001034998,-0.009097161,0.044668638,0.001034998,3.56E-06,-0.015137846,-4.45,-4.399387277,-4.03,-3.9801081,0.0465725,0.0033194,5.99,-0.0262
4-NH2BI,c1cc(N)ccc1(I),I,H,H,NH2,12.9,2.221215017,2.1073,2.529,-7.76,C1,2.1111,0.0038,2.539,0.01,-5.55,,3.1363,0.126,-12.905,0.0142,0.0095,-0.00104,-0.00846,0.0421,0.00104,2.52E-06,-0.0142,-3.72,-3.666120464,-3.3,-3.25046051,0.044826769,0.004712722,5.38,-0.02294
4-NO2BI,c1cc(N(=O)=O)ccc1(I),I,H,H,NO2,26.1,2.203789632,2.1021,2.58,-11.083,C1,2.1083,0.0062,2.546,-0.034,-8.601,,3.0654,0.159,-13.412,0.016205096,0.010861496,-0.00101589,-0.009845606,0.047509554,0.00101589,4.50E-07,-0.016205096,-5.36,-5.30452455,-4.92,-4.863088653,0.054927789,0.001983558,6.69,-0.03016
4-OHBI,c1cc(O)ccc1(I),I,H,H,OH,15.6,2.217514545,2.107,2.541,-8.205,C1,2.1114,0.0044,2.543,0.002,-5.892,,3.1211,0.134,-12.894,0.0146,0.00977,-0.00104,-0.00874,0.0432,0.00104,3.85E-06,-0.0146,-4.03,-3.978797152,-3.61,-3.561993892,0.043973356,0.004032753,5.64,-0.02432
4-OOCMeBI,c1cc(OC(=O)C)ccc1(I),I,H,H,OOCMe,16.9,2.215382079,2.1069,2.536,-9.48,C1,2.1114,0.0045,2.535,-0.001,-7.082,,3.1106,0.139,-13.156,0.014909008,0.009968462,-0.001035661,-0.008932801,0.044016499,0.001035661,1.26E-06,-0.014909008,-4.25,-4.194056756,-3.83,-3.776875234,0.049487909,0.003636857,5.81,-0.02536
4-SHBI,c1cc(S)ccc1(I),I,H,H,SH,17.6,2.214990634,2.1058,2.543,-8.977,C1,2.1104,0.0046,2.541,-0.002,-6.566,,3.1097,0.14,-13.243,0.0149,0.00999,-0.00104,-0.00895,0.0441,0.00104,7.57E-07,-0.0149,-4.28,-4.234864326,-3.86,-3.81303311,0.043347101,0.003619789,5.84,-0.02544
BI,c1ccccc1(I),I,H,H,H,16.1,2.218213493,2.109,2.498,-9.966,C1,2.1127,0.0037,2.509,0.011,-7.698,,3.1208,0.134,-12.717,0.014655747,0.009779777,-0.001034749,-0.008745028,0.04325811,0.001034749,1.93E-06,-0.014655747,-4.08,-4.032022508,-3.66,-3.614421098,0.041769542,0.003809359,5.66,-0.0245
opp_H_2-4-6_OH_3-5_CNBI,c1(O)c(C#N)c(O)c(C#N)c(O)c1(I),I,OH,CN,OH,27.2,2.182587148,2.0883,2.8,-4.629,C1,2.1034,0.0151,2.613,-0.187,-0.996,,2.9988,0.166,-14.354,0.0181,0.0123,-0.000987,-0.0113,0.0532,0.000987,2.83E-06,-0.0181,-6.22,-6.104427225,-5.72,-5.609194812,0.106234848,0.00457034,8.12,-0.03692
opp_H_2-4-6_OH_3-5_FBI,c1(O)c(F)c(O)c(F)c(O)c1(I),I,OH,F,OH,19.3,2.192103368,2.0883,2.785,-4.313,C1,2.1005,0.0122,2.647,-0.138,-1.256,,3.0446,0.162,-13.702,0.0166,0.0113,-0.00104,-0.0103,0.0493,0.00104,3.30E-06,-0.0166,-5.08,-4.992156596,-4.62,-4.530563958,0.083047745,0.006388298,6.98,-0.03107
opp_H_2-4-6_SH_3-5_CNBI,c1(S)c(C#N)c(S)c(C#N)c(S)c1(I),I,SH,CN,SH,31.3,2.18848507,2.1058,2.541,-6.304,C1,2.1171,0.0113,2.431,-0.11,-3.012,,2.9962,0.166,-14.349,0.0184,0.0124,-0.000952,-0.0114,0.0534,0.000952,1.11E-06,-0.0184,-6.62,-6.53015477,-6.13,-6.042580773,0.084776533,0.002642694,8.4,-0.03848
opp_H_2-4-6_SH_3-5_FBI,c1(S)c(F)c(S)c(F)c(S)c1(I),I,SH,F,SH,24.3,2.196227437,2.103,2.567,-5.924,C1,2.1122,0.0092,2.489,-0.078,-3.086,,3.0315,0.164,-13.832,0.0172,0.0116,-0.001,-0.0106,0.0504,0.001,2.41E-06,-0.0172,-5.69,-5.62055465,-5.23,-5.158506148,0.067432171,0.004061681,7.44,-0.03359
opp_H_2-4-6-OHBI,c1(O)cc(O)cc(O)c1(I),I,OH,H,OH,12.8,2.203181664,2.0921,2.741,-4.397,C1,2.1017,0.0096,2.652,-0.089,-1.711,,3.0881,0.147,-13.345,0.0153,0.0104,-0.00106,-0.00934,0.0458,0.00106,1.03E-06,-0.0153,-4.13,-4.055506424,-3.69,-3.613595824,0.068618164,0.007786012,6.15,-0.02634
opp_H_2-4-6-SHBI,c1(S)cc(S)cc(S)c1(I),I,SH,H,SH,19.9,2.204512924,2.1068,2.51,-6.016,C1,2.1136,0.0068,2.475,-0.035,-3.412,,3.0631,0.158,-13.603,0.0163,0.0109,-0.00103,-0.0099,0.0478,0.00103,4.19E-07,-0.0163,-5.02,-4.959278864,-4.56,-4.495147207,0.060353864,0.004498929,6.78,-0.02985
opp_H_2-6_3-5_4-OHBI,c1(O)c(O)c(O)c(O)c(O)c1(I),I,OH,OH,OH,13.5,2.20160347,2.0909,2.747,-4.889,C1,2.1009,0.01,2.649,-0.098,-2.088,,3.0774,0.152,-13.524,0.0156,0.0106,-0.00105,-0.00955,0.0466,0.00105,6.94E-07,-0.0156,-4.32,-4.244617707,-3.87,-3.79125057,0.070830135,0.007919295,6.27,-0.02743
opp_H_2-6_3-5_4-SHBI,c1(S)c(S)c(S)c(S)c(S)c1(I),I,SH,SH,SH,20.4,2.203396993,2.1144,2.423,-6.411,C1,2.1222,0.0078,2.377,-0.046,-3.483,,3.0475,0.16,-14.033,0.0167,0.0112,-0.00101,-0.0102,0.049,0.00101,1.86E-06,-0.0167,-5.22,-5.149420517,-4.76,-4.689876253,0.065166862,0.004956886,,-0.03165
opp_H_2-6_3-5-OHBI,c1(O)c(O)cc(O)c(O)c1(I),I,OH,OH,H,12.9,2.202152027,2.0906,2.734,-6.707,C1,2.1003,0.0097,2.636,-0.098,-4.031,,3.0775,0.152,-13.384,0.0156,0.0106,-0.00105,-0.00955,0.0466,0.00105,7.08E-07,-0.0156,-4.33,-4.253026961,-3.87,-3.79245338,0.069436436,0.008110184,6.24,-0.02741
opp_H_2-6_3-5-SHBI,c1(S)c(S)cc(S)c(S)c1(I),I,SH,SH,H,21.2,2.203725692,2.1138,2.425,-7.277,C1,2.1211,0.0073,2.386,-0.039,-4.412,,3.0492,0.16,-13.718,0.0167,0.0112,-0.00101,-0.0102,0.0489,0.00101,3.52E-07,-0.0167,-5.25,-5.174633849,-4.79,-4.718836156,0.066534832,0.004629012,7.1,-0.03177
opp_H_2-6_OH_3-5_CN_4_NO2BI,c1(O)c(C#N)c(N(=O)=O)c(C#N)c(O)c1(I),I,OH,CN,NO2,34.9,2.17305082,2.084,2.808,-7.654,C1,2.1015,0.0175,2.564,-0.244,-3.957,,2.9569,0.175,-14.665,0.0196,0.0133,-0.000909,-0.0124,0.057,0.000909,3.07E-06,-0.0196,-7.33,-7.20191624,-6.81,-6.681848943,0.124968517,0.00318254,9.23,-0.04291
opp_H_2-6_OH_3-5_F_4_NO2BI,c1(O)c(F)c(N(=O)=O)c(F)c(O)c1(I),I,OH,F,NO2,28.5,2.180976707,2.085,2.794,-6.999,C1,2.0996,0.0146,2.602,-0.192,-3.731,,2.9968,0.166,-14.066,0.0182,0.0124,-0.000983,-0.0114,0.0534,0.000983,2.50E-06,-0.0182,-6.33,-6.216544348,-5.84,-5.729775823,0.106011455,0.004212722,8.1,-0.03719
opp_H_2-6_OH_3-5_NO2_4_CNBI,c1(O)c(N(=O)=O)c(C#N)c(N(=O)=O)c(O)c1(I),I,OH,NO2,CN,34,2.173375971,2.0853,2.792,-7.184,C1,2.103,0.0177,2.544,-0.248,-3.372,,2.9583,0.173,-14.792,0.0195,0.0133,-0.000915,-0.0124,0.0569,0.000915,2.19E-06,-0.0195,-7.22,-7.090464278,-6.71,-6.577593174,0.128896726,0.0035101,9.25,-0.04262
